species_name,origin,mito,assemble,
Apis mellifera,ensembl,CM009947.2,chromosome,
Monomorium pharaonis,ensembl,False,
Apis cerana,NCBI Refseq,NC_014295.1,chromosome,
Drosophila melanogaster,ensembl,mitochondrion_genome,chromosome,
Bombus terrestris,ensembl,False,chromosome,
Ceratina calcarata,Lab Site,False,scaffold,
Camponotus floridanus,ensembl,False,scaffold,
Harpegnathos saltator,ensembl,False,scaffold,
Lasioglossum zephyrus,NCBI Refseq&Lab Site,False,chromosome&scaffold
Lasioglossum albipes,Lab Site,False,
