species,hmm_name,protein_id,evalue,score
Apis_cerana,COX1_PF00115,YP_003735170.2,4.3e-139,464.8
Apis_cerana,COX2_PF00116,YP_003735171.1,1.4e-57,193.4
Apis_cerana,COX2_PF00119,XP_061942793.1,3.2e-49,168.4
Apis_cerana,COX2_PF00119,YP_003735173.1,1.8e-29,103.8
Apis_cerana,COX2_PF02790,YP_003735171.1,9.8e-16,58.4
Apis_cerana,COX3_PF00510,YP_003735174.1,1.3e-89,301.2
Apis_cerana,CYTB_PF00032,YP_003735180.1,1.6e-28,99.6
Apis_cerana,CYTB_PF00032,XP_061942845.1,5e-18,65.9
Apis_cerana,CYTB_PF00033,XP_061942845.1,7e-83,277.8
Apis_cerana,CYTB_PF00033,YP_003735180.1,6.4e-72,242.0
Apis_cerana,ND1_PF00146,YP_003735181.1,2.6e-75,254.2
Apis_cerana,ND2_PF00361,XP_061942853.1,4.6e-92,309.0
Apis_cerana,ND2_PF00361,XP_061942811.1,2.1e-87,293.7
Apis_cerana,ND2_PF00361,XP_061942809.1,3.4e-80,270.1
Apis_cerana,ND2_PF00361,YP_003735177.1,9.3e-58,196.4
Apis_cerana,ND2_PF00361,YP_003735176.1,8.4e-53,180.2
Apis_cerana,ND2_PF00361,XP_061942786.1,3.8e-35,122.2
Apis_cerana,ND2_PF00361,XP_061942850.1,4.7e-17,62.8
Apis_cerana,ND3_PF00507,XP_061942802.1,6.9e-34,116.7
Apis_cerana,ND3_PF00507,YP_003735175.1,3.3e-23,82.4
Apis_cerana,ND4_PF00361,XP_061942853.1,4.6e-92,309.0
Apis_cerana,ND4_PF00361,XP_061942811.1,2.1e-87,293.7
Apis_cerana,ND4_PF00361,XP_061942809.1,3.4e-80,270.1
Apis_cerana,ND4_PF00361,YP_003735177.1,9.3e-58,196.4
Apis_cerana,ND4_PF00361,YP_003735176.1,8.4e-53,180.2
Apis_cerana,ND4_PF00361,XP_061942786.1,3.8e-35,122.2
Apis_cerana,ND4_PF00361,XP_061942850.1,4.7e-17,62.8
Apis_cerana,ND5_PF00361,XP_061942853.1,4.6e-92,309.0
Apis_cerana,ND5_PF00361,XP_061942811.1,2.1e-87,293.7
Apis_cerana,ND5_PF00361,XP_061942809.1,3.4e-80,270.1
Apis_cerana,ND5_PF00361,YP_003735177.1,9.3e-58,196.4
Apis_cerana,ND5_PF00361,YP_003735176.1,8.4e-53,180.2
Apis_cerana,ND5_PF00361,XP_061942786.1,3.8e-35,122.2
Apis_cerana,ND5_PF00361,XP_061942850.1,4.7e-17,62.8
Apis_cerana,ND5_PF00662,XP_061942853.1,6.2e-17,61.9
Apis_cerana,ND5_PF00662,YP_003735176.1,1.3e-07,32.1
Apis_cerana,ND6_PF00499,XP_061942849.1,2.9e-13,50.5
Apis_mellifera,COX1_PF00115,NP_008083,6.5e-140,467.2
Apis_mellifera,COX2_PF00116,NP_008084,1.2e-57,193.4
Apis_mellifera,COX2_PF00119,NP_008086,9.7e-29,101.1
Apis_mellifera,COX2_PF02790,NP_008084,3e-16,59.7
Apis_mellifera,COX3_PF00510,NP_008087,8.3e-93,311.3
Apis_mellifera,CYTB_PF00032,NP_008093,2.1e-29,102.1
Apis_mellifera,CYTB_PF00033,NP_008093,5.7e-73,245.2
Apis_mellifera,ND1_PF00146,NP_008094,3.1e-74,250.4
Apis_mellifera,ND2_PF00361,NP_008090,1.5e-55,188.9
Apis_mellifera,ND2_PF00361,NP_008089,2.6e-54,184.8
Apis_mellifera,ND2_PF00361,XP_026301416,2e-13,50.6
Apis_mellifera,ND3_PF00507,NP_008088,8.9e-23,80.7
Apis_mellifera,ND4_PF00361,NP_008090,1.5e-55,188.9
Apis_mellifera,ND4_PF00361,NP_008089,2.6e-54,184.8
Apis_mellifera,ND4_PF00361,XP_026301416,2e-13,50.6
Apis_mellifera,ND5_PF00361,NP_008090,1.5e-55,188.9
Apis_mellifera,ND5_PF00361,NP_008089,2.6e-54,184.8
Apis_mellifera,ND5_PF00361,XP_026301416,2e-13,50.6
Bombus_terrestris,COX1_PF00115,ENSBTSP00005062381.1,5e-21,76.0
Bombus_terrestris,COX1_PF00115,ENSBTSP00005050813.1,1.7e-10,41.3
Bombus_terrestris,COX1_PF00115,ENSBTSP00005041561.1,3e-07,30.6
Bombus_terrestris,COX3_PF00510,ENSBTSP00005054315.1,1.7e-28,101.2
Bombus_terrestris,CYTB_PF00033,ENSBTSP00005066521.1,2.9e-11,44.5
Bombus_terrestris,CYTB_PF00033,ENSBTSP00005041847.1,3.2e-11,44.4
Bombus_terrestris,CYTB_PF00033,ENSBTSP00005048246.1,3.2e-11,44.4
Bombus_terrestris,ND1_PF00146,ENSBTSP00005052173.1,5.1e-49,168.2
Bombus_terrestris,ND1_PF00146,ENSBTSP00005062988.1,5.1e-33,115.7
Bombus_terrestris,ND1_PF00146,ENSBTSP00005045165.1,1.8e-32,113.8
Bombus_terrestris,ND2_PF00361,ENSBTSP00005049491.1,1.8e-34,120.3
Bombus_terrestris,ND2_PF00361,ENSBTSP00005047686.1,6e-34,118.5
Bombus_terrestris,ND2_PF00361,ENSBTSP00005063970.1,1.9e-16,61.1
Bombus_terrestris,ND4_PF00361,ENSBTSP00005049491.1,1.8e-34,120.3
Bombus_terrestris,ND4_PF00361,ENSBTSP00005047686.1,6e-34,118.5
Bombus_terrestris,ND4_PF00361,ENSBTSP00005063970.1,1.9e-16,61.1
Bombus_terrestris,ND5_PF00361,ENSBTSP00005049491.1,1.8e-34,120.3
Bombus_terrestris,ND5_PF00361,ENSBTSP00005047686.1,6e-34,118.5
Bombus_terrestris,ND5_PF00361,ENSBTSP00005063970.1,1.9e-16,61.1
Camponotus_floridanus,ND1_PF00146,XP_019884947.1,1.3e-64,218.8
Camponotus_floridanus,ND2_PF00361,XP_019884946.2,8e-47,160.2
Camponotus_floridanus,ND2_PF00361,XP_025263729.1,1e-25,90.9
Camponotus_floridanus,ND4_PF00361,XP_019884946.2,8e-47,160.2
Camponotus_floridanus,ND4_PF00361,XP_025263729.1,1e-25,90.9
Camponotus_floridanus,ND5_PF00361,XP_019884946.2,8e-47,160.2
Camponotus_floridanus,ND5_PF00361,XP_025263729.1,1e-25,90.9
Ceratina_calcarata,ND2_PF00361,Ccalc.v3.19800-RA,9.5e-08,32.0
Ceratina_calcarata,ND4_PF00361,Ccalc.v3.19800-RA,9.5e-08,32.0
Ceratina_calcarata,ND5_PF00361,Ccalc.v3.19800-RA,9.5e-08,32.0
Drosophila_melanogaster,ATP8_PF00895,FBpp0100178,6.7e-17,62.4
Drosophila_melanogaster,COX1_PF00115,FBpp0100176,1.3e-150,502.9
Drosophila_melanogaster,COX2_PF00116,FBpp0100177,6.8e-63,210.7
Drosophila_melanogaster,COX2_PF00119,FBpp0390630,1.4e-41,143.5
Drosophila_melanogaster,COX2_PF02790,FBpp0100177,1e-27,96.9
Drosophila_melanogaster,COX3_PF00510,FBpp0100180,8.5e-125,416.6
Drosophila_melanogaster,CYTB_PF00032,FBpp0390634,5.7e-38,130.0
Drosophila_melanogaster,CYTB_PF00033,FBpp0390634,2.5e-81,272.8
Drosophila_melanogaster,ND1_PF00146,FBpp0390631,8.2e-93,311.8
Drosophila_melanogaster,ND2_PF00361,FBpp0390632,9.9e-80,268.6
