,species,hmm_name,protein_id,evalue,score
0,Harpegnathos_saltator,ATP6,XP_025159989.1,4.4e-65,220.2
1,Bombus_terrestris,COX1,ENSBTSP00005041561.1,3.5e-44,152.5
2,Bombus_terrestris,COX1,ENSBTSP00005062381.1,9.6e-44,151.0
3,Bombus_terrestris,COX1,ENSBTSP00005050813.1,7.3e-38,131.6
4,Bombus_terrestris,COX3,ENSBTSP00005054315.1,1.7e-33,117.3
5,Bombus_terrestris,CYTB,ENSBTSP00005066521.1,3.7e-47,162.3
6,Bombus_terrestris,CYTB,ENSBTSP00005041847.1,5e-47,161.9
7,Bombus_terrestris,CYTB,ENSBTSP00005048246.1,5e-47,161.9
8,Bombus_terrestris,ND1,ENSBTSP00005052173.1,1.1e-77,262.6
9,Bombus_terrestris,ND1,ENSBTSP00005045165.1,2.6e-52,179.2
10,Bombus_terrestris,ND1,ENSBTSP00005062988.1,3.5e-52,178.8
11,Camponotus_floridanus,ND1,XP_019884947.1,4.1e-82,276.5
12,Bombus_terrestris,ND4,ENSBTSP00005063970.1,4.9e-39,135.7
13,Camponotus_floridanus,ND4,XP_019884946.2,5.9e-76,256.8
14,Ceratina_calcarata,ND4,Ccalc.v3.19800-RA,2.8e-15,56.8
15,Harpegnathos_saltator,ND4,XP_025159988.1,1.7e-98,331.3
16,Bombus_terrestris,ND5,ENSBTSP00005049491.1,6.2e-119,399.4
17,Bombus_terrestris,ND5,ENSBTSP00005047686.1,2e-98,331.7
18,Bombus_terrestris,ND5,ENSBTSP00005049623.1,8.7e-19,68.8
19,Camponotus_floridanus,ND5,XP_025263729.1,9.9e-52,177.0
20,Harpegnathos_saltator,ND5,XP_025159987.1,7.9e-122,408.5
